CIK,YEARA,P_AAER,UNDERSTATEMENT
719613,1984,190,0
719704,1985,145,0
720481,1992,999,0
720481,1993,999,0
720577,1994,1110,0
720577,1995,1110,0
720695,1989,745,0
721171,1987,264,0
721171,1988,264,0
721371,2001,2654,0
721371,2002,2654,0
721371,2003,2654,0
721688,1986,343,0
721688,1987,343,0
722057,1987,421,1
723527,1999,1977,0
723527,2000,1977,0
723527,2001,1977,0
723574,1985,229,0
723574,1986,229,0
723612,1995,1272,0
723612,1996,1272,0
723612,1997,1272,0
724051,1998,1762,0
724051,1999,1762,0
724391,2010,3795,0
725476,1986,619,0
725476,1987,619,0
725476,1988,619,0
726513,2002,2434,0
726513,2003,2434,0
726602,1991,612,0
726602,1992,612,0
726606,1991,762,0
726712,1991,778,0
726712,1992,778,0
727207,1998,1209,0
729600,2007,3125,0
729602,1985,282,0
729602,1986,282,0
729638,1984,162,0
730255,1999,1995,0
730263,1996,1190,0
730263,1997,1190,0
730263,2003,3280,0
730263,2004,3280,0
730263,2005,3280,0
730263,2006,3280,0
731012,1990,823,0
731012,1991,823,0
731306,1988,542,0
731306,1989,542,0
731306,1990,542,0
731308,1986,325,0
731308,1987,325,0
731308,1988,325,0
731336,1988,508,0
731336,1989,508,0
731336,1990,508,0
731714,1985,771,0
731714,1986,771,0
731766,1994,2754,0
731766,1995,2754,0
731766,1996,2754,0
731766,1997,2754,0
731766,1998,2754,0
731766,1999,2754,0
731766,2000,2754,0
731766,2001,2754,0
731766,2002,2754,0
731766,2003,2754,0
731766,2004,2754,0
731766,2005,2754,0
732772,1985,169,0
732775,1988,332,0
737203,1987,52,0
737561,2003,3008,0
737561,2004,3008,0
737561,2005,3008,0
737561,2006,3008,0
737561,2007,3008,0
737561,2008,3008,1
737572,2000,2181,0
737572,2001,2181,0
743316,2000,3224,0
743316,2001,3224,0
743316,2002,3224,0
743316,2003,3224,0
743316,2004,3224,0
743316,2005,3224,0
745308,2009,3716,0
745308,2010,3716,0
745452,1990,789,0
745452,1991,789,0
745452,1992,789,0
745452,1993,789,0
745452,1994,789,0
746072,1989,490,0
746512,1983,209,0
746512,1984,209,0
746550,1985,247,0
746550,1986,247,0
746550,1987,247,0
746592,1981,159,0
746592,1982,159,0
746592,1983,159,0
748529,1987,257,0
748529,1988,257,0
750901,2000,2134,0
750901,2001,2134,0
751226,1986,460,0
751226,1987,460,0
751226,1988,460,0
752363,1986,291,0
753048,1999,1875,0
754495,1998,2054,0
755003,1994,1176,0
755003,1995,1176,0
755003,1996,1176,0
755095,1996,1536,0
758328,1987,338,0
758328,1988,338,0
758328,1989,338,0
758328,1990,338,0
758722,1993,1411,0
758722,1994,1411,0
758722,1995,1411,0
763414,1992,1033,0
763733,1991,621,0
763950,1990,555,0
764244,1999,2621,0
764960,1987,667,0
764960,1988,667,0
764960,1989,667,0
764960,1990,667,0
764960,1991,667,0
764960,1992,667,0
766588,1992,926,0
766791,1987,205,0
769191,1992,865,0
770503,1986,273,0
770944,2001,3088,0
770944,2002,3088,0
770944,2003,3088,0
771950,1987,521,0
771950,1988,521,0
772891,1997,2551,0
772891,1998,2551,0
772891,1999,2551,0
772891,2000,2551,0
772891,2001,2551,0
772891,2002,2551,0
773141,1985,245,0
773141,1986,245,0
773141,1987,245,0
776074,1989,669,0
776074,1990,669,0
776074,1991,669,0
777539,1988,215,0
778734,2000,2046,0
779134,1984,226,0
779676,1990,473,0
779676,1991,473,0
779676,1992,473,0
784683,1986,296,0
784932,1996,1651,0
784932,1997,1651,0
784932,1998,1651,0
785161,1999,2082,0
785161,2000,2082,0
785161,2001,2082,0
785161,2002,2082,0
785968,2009,3673,0
787793,1993,1047,0
787793,1994,1047,0
789019,1995,1563,0
789019,1996,1563,0
789019,1997,1563,0
789019,1998,1563,0
789932,1986,388,0
789932,1987,388,0
791164,1995,1308,0
791716,1986,293,0
792969,1989,702,0
792969,1990,702,0
793596,1986,242,0
793971,1991,696,0
794803,1988,1297,0
794803,1989,1297,0
794803,1990,1297,0
794803,1991,1297,0
795410,1986,364,0
795760,1987,319,0
796331,1985,240,0
796486,1998,2237,0
796486,1999,2237,0
796486,2000,2237,0
796486,2001,2237,0
798985,2007,3404,0
798985,2008,3404,0
799089,1994,1215,0
799089,1995,1215,0
799089,1996,1215,0
800240,2006,3198,0
800460,1994,837,0
801313,1986,615,0
801313,1987,615,0
801313,1988,615,0
802492,1999,1655,0
802492,2000,1655,0
802513,1985,268,0
803014,1991,2994,0
803014,1992,2994,0
803014,1993,2994,0
803014,1994,2994,0
803014,1995,2994,0
803014,1996,2994,0
803014,1997,2994,0
803014,1998,2994,0
803014,1999,2994,0
803014,2000,2994,0
803014,2001,2994,0
803014,2002,2994,0
803014,2003,2994,0
803014,2004,2994,0
803014,2005,2994,0
803190,1991,1602,0
803190,1992,1602,0
803656,1991,1290,0
803656,1992,1290,0
805676,2010,3804,0
806514,2008,3146,0
807359,1988,445,0
807732,1992,812,0
808207,1994,1285,0
808207,1995,1285,0
808207,1996,1285,0
808450,2001,3165,0
808450,2002,3165,0
808450,2003,3165,0
808450,2004,3165,0
808450,2005,3165,0
809572,1986,356,0
809572,1987,356,0
809572,1988,356,0
810270,1989,398,0
810270,1990,398,0
810750,1997,1450,0
811156,2000,1978,0
811671,2002,3223,0
811671,2003,3223,0
811671,2004,3223,0
811671,2005,3223,0
811671,2006,3223,0
812146,1989,370,0
812146,1990,370,0
812446,2002,2575,0
812900,2000,2674,0
812900,2001,2674,0
812900,2002,2674,0
812900,2003,2674,0
813342,1991,915,0
813342,1992,915,0
813359,1989,694,0
814085,1990,743,0
814085,1991,743,0
814184,1989,697,0
814287,1988,859,0
814287,1989,859,0
814287,1990,859,0
814287,1991,859,0
814580,2001,2194,0
814580,2002,2194,0
814580,2003,2194,0
814581,1987,315,0
814585,1998,2548,0
814585,1999,2548,0
814585,2000,2548,0
814585,2001,2548,0
814585,2002,2548,0
814585,2003,2548,0
819182,1988,361,0
819182,1989,361,0
819479,1993,1160,0
820081,1997,2620,1
820081,1998,2620,0
820081,1999,2620,0
820081,2000,2620,0
820081,2001,2620,0
820235,1992,903,0
820235,1993,903,0
820588,1995,1270,0
822614,1988,450,0
822614,1989,450,0
823876,2003,2972,0
824204,1983,181,0
824204,1984,181,0
824575,1991,371,0
1571996,2002,3156,0
1571996,2003,3156,0
1571996,2004,3156,0
1571996,2005,3156,0
1571996,2006,3156,0
826154,2010,3807,0
826154,2011,3807,0
826253,1993,839,0
826253,1994,839,0
826253,1997,1575,0
826253,1998,1575,0
827055,2003,2948,0
827055,2004,2948,0
828529,1993,1184,0
830991,1991,838,0
830991,1992,838,0
830991,1993,838,0
831001,2001,2838,0
831978,1998,641,0
831978,1999,641,0
832813,1991,1145,0
1608109,1998,1839,0
1608109,1999,1839,0
1608109,2000,1839,0
1608109,2001,1839,0
1608109,2002,1839,0
834408,2007,3276,0
835012,2008,3437,0
835012,2009,3437,0
836190,1993,959,0
837429,1991,604,0
837429,1992,604,0
837912,1991,874,0
840401,1988,591,0
840401,1989,591,0
840401,1990,591,0
840401,1991,591,0
840715,2001,1701,0
840715,2002,1701,0
840889,2000,3007,0
840889,2001,3007,0
840889,2002,3007,0
840889,2003,3007,0
840889,2004,3007,0
841054,1991,901,0
841054,1992,901,0
843212,1988,912,0
843212,1989,912,0
843212,1990,912,0
843212,1991,912,0
843212,1992,912,0
843212,1993,912,0
843462,1989,857,0
843462,1990,857,0
843462,1991,857,0
843462,1992,857,0
843462,1993,857,0
845572,1993,1123,0
845572,1994,1123,0
846538,2002,2037,0
846815,2001,2581,0
846815,2002,2581,0
